Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
71872930,North Woods,Daniel       Mason,"Mason, Daniel",,"=""""","=""""",4.0,Random House,Hardcover,372,2023,2023,,2026/08/01,,,read,,,,1,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",3.0,Penguin Books,Paperback,289,2019,2018,,2024/02/22,,,read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",4.0,Grand Central Publishing,Kindle Edition,496,2017,2017,,2024/02/22,,,read,,,,0,0
65916344,"Holly (Holly Gibney, #3)",Stephen  King,"King, Stephen",,"=""1668016133""","=""9781668016138""",1.0,Scribner,Hardcover,449,2023,2023,2024/02/18,2024/02/21,,,read,"I've returned to Goodreads after a long hiatus specifically to rate this book, which I thought was vaguely entertaining (I finished it, after all!) but regularly frustrated the hell out of me.<br/><br/>It's hard for me to say what exactly annoyed me so much about this book. Sure, the dialogue was pretty bad* at points, but I've enjoyed plenty of novels with bad dialogue. Did I think the constant Covid references and characters asking each other if they were vaccinated was a little tiresome? Potentially, but I think it's a hard topic to deal with in a novel and it did bring out some interesting character nuances. Even the sometimes lackadaisical pacing could have been counterbalanced by the strong points of the story—typical King stuff like fun villains, gruesome body horror, and interesting side characters. <br/><br/>With some reflection, though, I think there were two main issues that led to this book leaving such a sour taste in my mouth. The first was that the whole book felt weirdly self-congratulatory. I found the side plots about the two Robinson children's writing endeavors, for example, to be mostly gratuitous and a little too starry-eyed. It was jarring to read about some of the horrors in store for the side characters while the two largely irrelevant side plots were about the Robinsons stacking up wins as young writers. Even making them both turn into writers seems self-indulgent! To me, it feels like King really loves these characters and expects us to love them the same way, but even though I've read most of the books in the Gibney-verse and enjoy the general lineup, I would much rather those characters had believable, interesting storylines than the ones we get in this book. The second thing that bothered me about this book was that it had an almost complete lack of suspense. I can understand the impulse to make a bold choice like revealing the villains and some of their motives early on in the story, but I think if you do that, you have to add some suspense later, and I didn't think that came through at all. The plot armor of all the main characters felt strong enough that even when Holly was staring death in the face, I didn't have any fear that she would come out of it much the worse for wear. I suppose the second point, then, is really more of a function of the first—it's hard to maintain a sense of energy and suspense when you're going off on constant digressions about characters who aren't really involved in the story!<br/><br/>Anyway, I worry a little that I'm not being fair to Mr. King. This is a fine book with some good pieces, it just doesn't hold a candle (in my little opinion) to some of his other recent work like The Outsider or The Institute.<br/><br/><br/>* Bad dialogue reproduced here:<br/>""Not that I saw,"" Herrera says,... ""And I believe I would have. Convenience stores like this, especially on quiet streets like Red Bank Ave, are prime targets for robbers. Although this place has never been hit, grace of God.""",,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",4.0,Ecco,Hardcover,360,2022,2022,,2023/08/26,,,read,,,,1,0
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",3.0,Flatiron Books,Hardcover,372,2022,2022,2023/07/10,2023/07/14,,,read,"This was a really fun little thriller/horror jaunt. I read it all on a plane and it was a perfect travel read. I'm a big fan of an unreliable narrator and I loved the tension that built up throughout this story as you wonder if Mallory is spiraling into some kind of addictive relapse or if she's really experiencing the supernatural. I thought the characters were well-drawn and the writing was solid, if unexceptional. ",,,3,0
62687857,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""""","=""""",4.0,Grove Press,Hardcover,724,2023,2023,2023/07/08,2023/07/08,,,read,"I really enjoyed this book—not quite ready to say I loved it but it was close (4.5 stars). <br/><br/>The highs:<br/>- the author/narrator's love for Kerala came through strongly in the beautiful descriptions of the waterways and forests of Parambil. People say this a lot, but the setting really is a character in this one.<br/>- the characters are rich, deep, and human with flaws and idiosyncrasies that make them memorable and captivating.<br/>- the central storyline grows more and more powerful as the story extends over 70 years and you get a chance to know the more minor characters.<br/><br/>The slightly less high(s):<br/>- the pacing can be uneven. Since the book spans such a dramatic range of time and place it can sometimes feel like a succession of ""good thing happened, bad thing happened, good thing happened..."" over and over without a clear sense of direction. This didn't really throw me off because these episodes never lasted long enough for me to get bored.<br/>- the descriptions of surgeries and medical stuff writ large can be frustratingly detailed. You can tell the author loves medicine, but sometimes I wish he would just release a version for med students and a version for regular people.",,,1,0
58340727,The Island,Adrian McKinty,"McKinty, Adrian",,"=""0316531286""","=""9780316531283""",3.0,Mulholland Books,Hardcover,375,2022,2022,2023/06/01,2023/07/08,,,read,"Good solid thriller with a few fun twists. I love the ""unexpected character turns out to be a badass"" trope and this one hit hard. I can't give it a super high number of stars because I wouldn't call it super high quality and it definitely started to lose my attention at points, but overall I was entertained.",,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",4.0,Harper,Hardcover,560,2022,2022,2023/06/18,2023/06/23,,,read,"4.5 stars<br/><br/>This was a great read. As you'd expect from Kingsolver, it feels really faithful to the American South in a way that not many popular novels do—I'm used to shaking my head at a lazy trope or stilted piece of twangy dialogue every few pages when I read a novel with a piece set in North Carolina or Virginia. I loved the central story of Demon/Damon and thought it was beautifully told. Especially noteworthy was how the narration evolved to match his growing maturity. It was a really interesting device that I thought helped build a sense of connection with and empathy for Demon. <br/><br/>The theme I thought most about while reading this book was the notion of destiny and fate. Demon spends the whole story talking and thinking about his connection to his father and how his father died, and so it seems inevitable that he'll end up at the Devil's Bathtub at some point in the story. In parallel, we see the threads of fate tying up the residents of Lee county—the central question is how much agency the characters of the story have to escape them, and every character seems to have a different answer.<br/><br/>I'm excited to read this one again, and it makes me want to give David Copperfield a look as well.",,,1,0
55918474,Intimacies,Katie Kitamura,"Kitamura, Katie",,"=""0399576169""","=""9780399576164""",0,Riverhead Books,Hardcover,225,2021,2021,,2023/06/09,to-read,to-read (#3),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",4.0,Knopf,Hardcover,333,2014,2014,,2023/06/09,,,read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",4.0,Knopf,Hardcover,259,2022,2022,2023/02/01,2023/06/09,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",4.0,Knopf,Paperback,399,2022,2022,2023/03/01,2023/06/09,,,read,"Good, entertaining book with a lot to recommend it.",,,1,0
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",4.0,Random House,Hardcover,368,2017,2017,2023/03/01,2023/06/09,,,read,"The first 100 pages of this book really put me through the blender, but after having to struggle to keep myself reading for a while, I slowly found myself more and more absorbed and interested. At first, I shook my head at the ridiculousness of the constantly shifting narrators, tones, and themes, but soon I caught myself turning pages hoping for glimpses of my favorite characters and their lives. I thought the Bardo of Saunders's conception was a beautiful way of getting at the big questions about how we look back on our lives and those of others in retrospect. The Lincoln sections were heavy with grief, but also with energy and life. Lots to say about this one.",,,1,0
34068513,The Fall Guy,James Lasdun,"Lasdun, James",,"=""0393354946""","=""9780393354942""",1.0,W. W. Norton & Company,Paperback,256,2017,2016,2023/03/01,2023/06/09,,,read,"Picked this up to read on a plane and honestly hated it. I thought the plot was fundamentally not that interesting and the psycho-sexual tension kind of thing was clumsy. I think I was also frustrated by how little self-knowledge the main character seemed to have. I understand that that's a feature of real life, but I find it inherently boring when a narrative is driven by a boring character that doesn't seem to have any real motives or goals.",,,1,0
59576076,The Rabbit Hutch,Tess Gunty,"Gunty, Tess",,"=""""","=""""",4.0,Knopf,Hardcover,399,2022,2022,2023/04/01,2023/06/09,,,read,"3.5 stars.<br/><br/>This book felt like a fever-dream throughout—so full to the brim with textures, idiosyncratic characters, and imagined histories that it stands out in my memory in technicolor. I enjoyed the many perspectives style of narration, though I will say that it made the book feel almost more like a collection of vignettes than a cohesive narrative. ",,,1,0
60048804,"No Plan B (Jack Reacher, #27)",Lee Child,"Child, Lee",Andrew Child,"=""1984818554""","=""9781984818553""",3.0,Delacorte Press,Kindle Edition,336,2022,2022,2023/05/01,2023/06/09,,,read,I picked this one up because I was tired of literary stuff and needed a break. It fits the form to a tee—always a great conspiracy going on and always entertaining.,,,1,0
56773168,Lemon,Kwon Yeo-Sun,"Yeo-Sun, Kwon",Janet Hong,"=""""","=""""",2.0,Apollo,ebook,176,2021,2019,2023/01/01,2023/06/09,,,read,Meh—felt like playing with a Russian nesting doll that went on forever.,,,1,0
10374,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",3.0,Vintage,Paperback,400,2003,1985,2023/01/01,2023/06/09,,,read,"I think I'm a little tired of Murakami. I liked this one in some ways, as I always do with his stuff. There's always something interesting going on and always some double-meaning to hunt for. But I'm tired of emotionless protagonists and I'm bored with stories I can't related to.<br/><br/>^ This is probably unnecessarily harsh. I love a meditation on consciousness. I just wish it were packaged a little differently.",,,1,0
60784757,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""0374110336""","=""9780374110338""",4.0,"Farrar, Straus and Giroux",Hardcover,424,2023,2023,,2023/06/09,,,read,"If I could give this a 3.5 stars I would. I enjoyed every minute of reading this book, but I don't think it's one that I'll come back to. I found the mystery elements of it a little lacking in plotting and pacing and the more literary elements weak in dramatic force. With that said, though, the writing is great, the characters are extremely interesting, and the twists and turns are fun to follow.",,,1,0
8855321,Leviathan Wakes,James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",4.0,Orbit,Paperback,561,2011,2011,2023/01/01,2023/06/09,,,read,"Really fun! I loved that this was essentially a detective noir in space, much like the original Star Wars films are kind of westerns in space. Great world-building, solid characters, solid writing, not much to dislike.",,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",3.0,Black Dog & Leventhal Pub,Hardcover,288,2006,1926,,2022/10/12,,,read,Solid! I won't say any more to avoid spoilers :p ,,,1,0
